আইডি,নাম,বারকোড,একক,ক্রয়মূল্য,বিক্রয়মূল্য,স্টক,মিনিস্টক,ক্যাটাগরি,কোম্পানি
P-001,মিনিকেট প্রিমিয়াম চাল ৫কেজি,8901234567001,পিস,275,325,100,10,খাদ্যপণ্য,মিনিকেট ফুডস
P-002,মিনিকেট বাসমতী চাল ৫কেজি,8901234567002,পিস,350,410,80,10,খাদ্যপণ্য,মিনিকেট ফুডস
P-003,সুজান স্প্রাইট ১.৫লি,8901234567003,পিস,12,18,300,50,পানীয়,সুজান বেভারেজ
P-004,সুজান পেপসি ১.৫লি,8901234567004,পিস,12,18,300,50,পানীয়,সুজান বেভারেজ
P-005,আল-মারওয়া গরম মসলা,8901234567005,পিস,85,110,150,20,মসলা,আল-মারওয়া ট্রেডিং
P-006,আল-মারওয়া হলুদ পাউডার,8901234567006,পিস,65,85,200,30,মসলা,আল-মারওয়া ট্রেডিং
P-007,আল-বাইয়ান চিনি ৫কেজি,8901234567007,পিস,225,275,120,15,খাদ্যপণ্য,আল-বাইয়ান গ্রুপ
P-008,আল-বাইয়ান তেল ৫লি,8901234567008,পিস,450,520,80,10,খাদ্যপণ্য,আল-বাইয়ান গ্রুপ
P-009,নাসা প্যারাসিটামল,8901234567009,পিস,8,15,500,100,ওষুধ,নাসা ফার্মা
P-010,নাসা ভিটামিন সি,8901234567010,পিস,25,40,200,50,ওষুধ,নাসা ফার্মা
